test;yaw_target;yaw_actual_median;tsr_expected;cp_expected;ct_expected;tsr_actual_median;cp_actual_median;ct_actual_median;pitot_velocity_median;u_blockage_corrected_median;ct_for_blockage_median;blockage_factor_median;top;file_number;mat_file
19;-30;-28.74599838256836;7;0.2613071611331977;0.5662553961487662;7.45909929371191;0.246034265892715;0.4353710622761937;5.0475091273585955;5.403774143936996;0.6929130795079069;1.0705933939095058;20;5;Results_File_5_TOP_20.mat
20;0;1.125;7;0.405203;0.7604389013028994;6.925766165867851;0.2907162027824668;0.5485297366930907;5.017898701131345;5.820214984622101;0.9208477077953622;1.1605684747361873;21;5;Results_File_5_TOP_21.mat
21;30;30.48299789428711;7;0.2650669764013012;0.574402955805583;7.127156344633719;0.21746212127267311;0.46242765169184674;5.045829349756241;5.653735335757899;0.7158492310210364;1.1203058452342392;22;5;Results_File_5_TOP_22.mat
22;-30;-29.60999870300293;7.3;0.2614334429535168;0.5779554820989141;7.6103668006840355;0.2066374011776636;0.49895368300558884;5.054397374639908;5.587936715094433;0.689240322647733;1.1059152610647567;23;5;Results_File_5_TOP_23.mat
23;0;0.26999998092651367;7.3;0.405279;0.7759218426339445;6.587042265728779;0.20944127979944457;0.5175348914695028;5.01688751578331;6.4568321867350615;0.9424749140622002;1.287128512118894;24;5;Results_File_5_TOP_24.mat
24;30;30.457264974713326;7.3;0.2650394214770136;0.5859272818520027;7.457782548164421;0.2052593565397652;0.5406320375469071;5.045838356018066;5.701015593015054;0.7320344579581404;1.1304564911545136;25;5;Results_File_5_TOP_25.mat
25;-30;-29.51999855041504;7.6;0.2569838917494583;0.5892898752092429;7.982481130715897;0.19070069667376421;0.5319249910428121;5.0571699142456055;5.6199324612511194;0.6990596855484836;1.1109293768751036;26;5;Results_File_5_TOP_26.mat
26;0;0.2789999842643738;7.6;0.3982728;0.7909232762190279;6.364663652146865;0.15558117704044583;0.45207357126153164;5.010761737823486;7.047459105144997;0.9645223220139161;1.4070401340746;27;5;Results_File_5_TOP_27.mat
27;30;30.419344344735144;7.6;0.2603876519050803;0.5970950391192992;7.844841817858224;0.19056578696858378;0.5554386416196602;5.045838356018066;5.718408522295643;0.7357230406707553;1.1329436716609265;28;5;Results_File_5_TOP_28.mat
28;-30;-28.718997955322266;6.4;0.2523400498411734;0.5304042160859316;6.514993137784512;0.2537274937057763;0.41631897923200467;5.561346083879471;6.0454258531426825;0.6527502621350916;1.087681878418673;29;5;Results_File_5_TOP_29.mat
29;0;1.0529999732971191;6.4;0.391562;0.7127741696482859;6.391605198276247;0.33509225995763586;0.5119720060210571;5.524191151062647;6.164862791016278;0.863282394565932;1.1154341045656004;30;5;Results_File_5_TOP_30.mat
30;30;30.48299789428711;6.4;0.2563139088937902;0.5387570383864975;6.4624306734585275;0.25012010756063163;0.43006882984482675;5.551671393215657;6.0953253308708;0.6676120266031249;1.0948505110282754;31;5;Results_File_5_TOP_31.mat
