yaw_group;test;top;file_number;mat_file;yaw_target;yaw_actual_median;tsr_expected;tsr_median;tsr_std;pitot_velocity_median;u_blockage_corrected_median;ct_for_blockage_median;blockage_factor_median;rotor_thrust_drag_corrected_median;nacelle_drag_median;tower_drag_median;cp_median;cp_plus_std;cp_minus_std;cp_min;cp_max;ct_median;ct_plus_std;ct_minus_std;ct_min;ct_max
yaw_0;2;2;5;Results_File_5_TOP_2.mat;0;1.1159999370574951;8.2;9.544151637914371;0.8710334321852088;4.006361961364746;4.279617284012743;0.5838571958419216;1.068587226101911;5.025049086486313;0.18109078875105725;0.25749120712229606;0.26720878414880717;0.3275389740575663;0.20687859424004804;0.08665636499003529;0.3142188267992246;0.4761710471753303;0.5525033793874864;0.39983871496317425;0.33217697622490405;0.5704434595050665
yaw_0;5;6;5;Results_File_5_TOP_6.mat;0;0.2879999876022339;8.5;9.69513199271381;0.8986340406981168;4.011704254114339;4.449886639767842;0.6915994250813023;1.1096272287242306;5.974475679644199;0.19578724249214752;0.23514620158064778;0.20814594789582477;0.2575957210036558;0.15869617478799375;0.07577321902938185;0.2589648445929395;0.5217980848196873;0.5660027878858738;0.47759338175350075;0.3872100796403195;0.570443523151019
yaw_0;8;9;5;Results_File_5_TOP_9.mat;0;0.2789999842643738;8.8;9.926476580197452;0.9318439526085738;4.013652948422298;4.542695443627325;0.7277669627494929;1.1306864317983676;6.306913122826291;0.2040392698875591;0.2291803566097056;0.1704084097537405;0.21207350122413984;0.12874331828334115;0.06292169075509514;0.22071057870483407;0.5381942298574666;0.583748033960022;0.49264042575491124;0.387214596644122;0.5704431516548382
yaw_0;11;12;5;Results_File_5_TOP_12.mat;0;1.0709999799728394;7.6;8.106798470908114;0.7737422163114994;4.544862399178166;5.037627173326884;0.6896971410355859;1.1086554836083473;7.638590925645266;0.2509218845027296;0.3048793801373587;0.300331790006518;0.3729757688493234;0.22768781116371262;0.11083641579465742;0.3656167003343197;0.5203687879033478;0.567055181160673;0.47368239464602274;0.387215460602863;0.5704424128707488
yaw_0;14;15;5;Results_File_5_TOP_15.mat;0;0.5489999651908875;7.9;8.217483065212665;0.7638121226432554;4.546705376717352;5.271208770307565;0.7638005235692641;1.1580811367761223;8.499036928738855;0.27473053391476265;0.3048647611353998;0.2491057863595429;0.30972200018008084;0.18848957253900495;0.10181520430531922;0.3144499981653303;0.549293892536262;0.5984950116394159;0.5000927734331082;0.3872086862396525;0.5704435262672751
yaw_0;17;18;5;Results_File_5_TOP_18.mat;0;0.3240000009536743;8.2;8.523616173549387;0.7873462522694785;4.544687680659758;5.392050114773938;0.7915908088939745;1.1856790388432703;8.783143512717743;0.28747119532907567;0.323944677933741;0.2159908995651957;0.2692924299252305;0.1626893692051609;0.09408258099416053;0.2777914000478326;0.560268262090399;0.6159160975291653;0.5046204266516328;0.3872247714973574;0.5704435256241283
yaw_0;20;21;5;Results_File_5_TOP_21.mat;0;1.125;7;7.283643807485053;0.7026814168421376;5.017898701131345;5.599470530235372;0.7024322773948888;1.1153978266231899;9.50719134705818;0.3100133679819157;0.3701220472408873;0.31888491862977053;0.3972541086935954;0.24051572856594566;0.11855511811357133;0.38366374183364366;0.5228855890513256;0.5691334262007666;0.47663775190188473;0.3872199388072086;0.5704434749161309
yaw_0;23;24;5;Results_File_5_TOP_24.mat;0;0.26999998092651367;7.3;7.264185218511566;0.7674566666243695;5.01688751578331;5.922674586290118;0.7868989274208524;1.180514591862431;10.634566573848128;0.34683445792225764;0.3893663247624395;0.26531053409134087;0.3396975471414711;0.19092352104121063;0.11816933047870151;0.3472818262680836;0.5470974808313798;0.605892233644088;0.48830272801867164;0.3872087255090719;0.5704435257907026
yaw_0;26;27;5;Results_File_5_TOP_27.mat;0;0.2789999842643738;7.6;7.530443418794057;0.6690610774207948;5.010761737823486;6.026614018600885;0.8060934030583912;1.2032225156993508;10.870886529515744;0.3591147554715748;0.4100652323503884;0.24326692120797794;0.3026922348350861;0.18384160758086973;0.12136161731966247;0.31536968659830195;0.5567926168100787;0.60977636182549;0.5038088717946675;0.39619298040517276;0.5704435086523086
yaw_0;29;30;5;Results_File_5_TOP_30.mat;0;1.0529999732971191;6.4;6.605331658713432;0.6474067552568473;5.524191151062647;6.0330168884180395;0.6508722448534371;1.0911368917038935;10.689881042005753;0.3598782308039552;0.4741407435373871;0.34995753167176946;0.4356676600626107;0.2642474032809282;0.11956934404108079;0.4180288035742304;0.4964303351969935;0.556821750781227;0.43603891961276003;0.386072837299549;0.5704435209688529
