test;yaw_target;yaw_mean;tsr_expected;tsr_mean;tip_speed_mean;pitot_velocity_mean;free_air_velocity_mean;cp_mean;cp_std;cp_min;cp_max;ct_mean;ct_std;ct_min;ct_max;rotor_thrust_mean;nacelle_drag_mean;tower_drag_force_mean;tower_drag_moment_mean;mat_file
18;30;30.464708314973116;8.2;8.80243827442662;45.426887732715564;4.579679808048111;5.160716419300834;0.14125291693905315;0.021271178177754337;0.09159740710903694;0.1830695109770599;0.5466492144878539;0.02226057843523732;0.49069972404051315;0.5738114925469033;7.674042397345111;0.2640277527979607;0.2769838796320214;0.0997141966675277;Results_File_5_TOP_19.mat
19;-30;-28.743101803053413;7;7.080956351146634;40.30346963423015;5.047620035963289;5.691811619161262;0.22589439450058008;0.06149612730610531;0.07961916862457319;0.29279415986533464;0.4466468779898812;0.09476230433190229;0.27759813647243653;0.5738114924286616;7.819485746752769;0.32514757774001285;0.4124621900860267;0.14848638843096965;Results_File_5_TOP_20.mat
20;0;1.1230657153787091;7;6.765683655767362;40.30164934867327;5.01749091053189;5.9567741264873355;0.2871927542374507;0.07404428467705672;0.12195027636250076;0.3722128574857439;0.5317188445687812;0.045747881126720666;0.3865919988533744;0.5738114912419912;9.843203130454853;0.35487334397314857;0.39291825604437697;0.1414505721759757;Results_File_5_TOP_21.mat
21;30;30.484629759130378;7;6.8196032389177095;40.30190425510096;5.045559386647089;5.909713929559484;0.20674411767290712;0.06414709529251766;0.08934245254650147;0.2850857609792179;0.48607224718360215;0.05721186024936825;0.38967655321614963;0.5738114901545973;9.028000279182137;0.3506047297532486;0.41865664701063;0.1507163929238268;Results_File_5_TOP_22.mat
22;-30;-29.612401985788345;7.3;7.432754081569792;42.523483499675145;5.05422957728304;5.721093827806855;0.200944021652632;0.045567107293812886;0.10381046687194144;0.26219445649965273;0.5048635941277761;0.055214574727824796;0.38224056042125504;0.5738114924865862;8.7990945581407;0.32602891578808685;0.37164241414214605;0.1337912690911726;Results_File_5_TOP_23.mat
23;0;0.26999998092651367;7.3;6.762956647993349;42.52422767142654;5.016616508738541;6.287816096535824;0.23778016102474975;0.058183645183204215;0.11872029092737597;0.3173211216696809;0.5276184544034442;0.05655063841616793;0.38659197417854946;0.5738114925977823;10.808564543719067;0.39445298920635946;0.4425425292784887;0.15931531054025597;Results_File_5_TOP_24.mat
24;30;30.458487707168736;7.3;7.490220425301804;42.52568282128526;5.0455717878725075;5.677494173286865;0.20965799541555802;0.030945419577524814;0.1487705545536288;0.2556525408553275;0.5449015232611472;0.024777767369033536;0.49323985540421617;0.5738114891952103;9.265071133962909;0.31952357038342694;0.33616409465132246;0.12101907407447608;Results_File_5_TOP_25.mat
25;-30;-29.520358876881005;7.6;7.939367868374233;44.85663685779732;5.057636303619172;5.6499002945158585;0.1909420935723585;0.03103603754860399;0.12266030861396289;0.23688232406331433;0.5293553509480524;0.03956785302620731;0.4408218840049173;0.5738114925225377;8.944181373974848;0.3166839248061601;0.3436113142629392;0.1237000731346581;Results_File_5_TOP_26.mat
26;0;0.2765242614711945;7.6;6.865178460699488;44.856959727178975;5.011184654697154;6.533983054332507;0.20279078318547852;0.044419307395262904;0.11343261382544773;0.2713831010140384;0.5075041491024015;0.05522343229361944;0.386591978007187;0.5701747555882671;11.232474178688916;0.42493296512676704;0.4947367366945049;0.17810522521002173;Results_File_5_TOP_27.mat
27;30;30.416696332986653;7.6;7.916391280758496;44.8585156569815;5.045756683556084;5.666535933615886;0.19738117179182432;0.022784960111948898;0.14946237132366103;0.23547257138645522;0.5553482330686882;0.01653999701693232;0.5189998743646225;0.5738114925993154;9.383160673442069;0.3179585698042149;0.32736705534756066;0.11785213992512183;Results_File_5_TOP_28.mat
28;-30;-28.718997955322266;6.4;6.124737125525694;39.3942848705031;5.56364683083687;6.4319960290739555;0.23152406541560727;0.07416209633044246;0.08868598842949374;0.31761351799699056;0.4447326947034308;0.09434860310345439;0.27467415551724933;0.5738114901259411;9.960971712786392;0.41679934958505743;0.5314624052738581;0.19132646589858893;Results_File_5_TOP_29.mat
29;0;1.056656052783411;6.4;6.179615756321238;39.39427349881901;5.527543654045742;6.374874272485618;0.3217395969534607;0.0824829832469977;0.12275917219380567;0.4156086160273903;0.5112435797754478;0.0486799567949805;0.38659198086768826;0.5738114823555158;10.949400287713553;0.40676545878872994;0.4649465820113512;0.16738076952408643;Results_File_5_TOP_30.mat
30;30;30.48354015003145;6.4;6.116116205806021;39.39257211613499;5.554824907654648;6.440782154979279;0.23071914039621894;0.07258672160253578;0.09001666250557942;0.31592525219846446;0.4613659640813997;0.07828683933566541;0.3217038949327921;0.5738114624182014;10.29328588689092;0.4171392438126296;0.517704246399688;0.18637352870388768;Results_File_5_TOP_31.mat
