Datei;Variable;Mittelwert;Median;Standardabweichung;Minimalwert;Maximalwert;RMS;Anzahl_Werte
Results_File_5_TOP_13.mat;Data[0].ModelsData[0].Model1[0].RotorSpeed;708.9877467521038;708.9645894938024;0.21219308758172123;708.5333534207288;709.7259938788375;708.9877785057594;2000
Results_File_5_TOP_13.mat;Data[0].ModelsData[0].Model1[0].PitotVelocity;4.577125268380789;4.577320385724306;0.01357303238827173;4.531932480633259;4.619225695729256;4.57714539310891;2000
Results_File_5_TOP_13.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade1;0.3993149995803833;0.3993149995803833;0.0;0.3993149995803833;0.3993149995803833;0.3993149995803833;2000
Results_File_5_TOP_13.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade1Dem;0.4000000059604645;0.4000000059604645;0.0;0.4000000059604645;0.4000000059604645;0.40000000596046453;2000
Results_File_5_TOP_13.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade2;0.3991750180721283;0.3991750180721283;0.0;0.3991750180721283;0.3991750180721283;0.39917501807212835;2000
Results_File_5_TOP_13.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade2Dem;0.4000000059604645;0.4000000059604645;0.0;0.4000000059604645;0.4000000059604645;0.40000000596046453;2000
Results_File_5_TOP_13.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade3;0.39368000626564026;0.39368000626564026;0.0;0.39368000626564026;0.39368000626564026;0.3936800062656403;2000
Results_File_5_TOP_13.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade3Dem;0.4000000059604645;0.4000000059604645;0.0;0.4000000059604645;0.4000000059604645;0.40000000596046453;2000
Results_File_5_TOP_13.mat;Data[0].ModelsData[0].Model1[0].Yaw;30.46888468157548;30.46549725051849;0.016735428329315218;30.446998596191406;30.49199867248535;30.468889277650185;2000
Results_File_5_TOP_13.mat;Data[0].ModelsData[0].Model1[0].YawDem;30.0;30.0;0.0;30.0;30.0;30.0;2000
Results_File_5_TOP_13.mat;Data[0].ModelsData[0].Model1[0].PitotDirection;0.006195068359375;0.006195068359375;0.0;0.006195068359375;0.006195068359375;0.006195068359375;2000
