top;mat_file;file_found;Meas. Rotor azimuth [deg] Fourier DC;Meas. Rotor azimuth [deg] Mean;Meas. Rotor azimuth [deg] Median;Meas. Rotor speed [rpm] Fourier DC;Meas. Rotor speed [rpm] Mean;Meas. Rotor speed [rpm] Median;Meas. Generator torque [Nm] Fourier DC;Meas. Generator torque [Nm] Mean;Meas. Generator torque [Nm] Median;Meas. Aerodynamic torque [Nm] Fourier DC;Meas. Aerodynamic torque [Nm] Mean;Meas. Aerodynamic torque [Nm] Median;Meas. Tower fore-aft moment [Nm] Fourier DC;Meas. Tower fore-aft moment [Nm] Mean;Meas. Tower fore-aft moment [Nm] Median;Meas. Tower side-side moment [Nm] Fourier DC;Meas. Tower side-side moment [Nm] Mean;Meas. Tower side-side moment [Nm] Median;Meas. Shaft bending moment [Nm] Fourier DC;Meas. Shaft bending moment [Nm] Mean;Meas. Shaft bending moment [Nm] Median;Meas. Demanded pitch B1 [deg] Fourier DC;Meas. Demanded pitch B1 [deg] Mean;Meas. Demanded pitch B1 [deg] Median;Meas. Actual pitch B1 [deg] Fourier DC;Meas. Actual pitch B1 [deg] Mean;Meas. Actual pitch B1 [deg] Median;Meas. Demanded pitch B2 [deg] Fourier DC;Meas. Demanded pitch B2 [deg] Mean;Meas. Demanded pitch B2 [deg] Median;Meas. Actual pitch B2 [deg] Fourier DC;Meas. Actual pitch B2 [deg] Mean;Meas. Actual pitch B2 [deg] Median;Meas. Demanded pitch B3 [deg] Fourier DC;Meas. Demanded pitch B3 [deg] Mean;Meas. Demanded pitch B3 [deg] Median;Meas. Actual pitch B3 [deg] Fourier DC;Meas. Actual pitch B3 [deg] Mean;Meas. Actual pitch B3 [deg] Median;Meas. Demanded yaw [deg] Fourier DC;Meas. Demanded yaw [deg] Mean;Meas. Demanded yaw [deg] Median;Meas. Actual yaw [deg] Fourier DC;Meas. Actual yaw [deg] Mean;Meas. Actual yaw [deg] Median
11;Results_File_5_TOP_11.mat;True;180.2879712870003;180.2879712870003;180.38540657361364;708.9849331884353;708.9849331884354;708.9588620678667;0.6195726762657632;0.6195726762657632;0.6195953904185505;0.16984114492432872;0.16984114492432872;0.1698146723965902;-5.616169841330799;-5.616169841330799;-5.59673958313807;2.315938799150979;2.3159387991509788;2.3083822419566444;1.5658418606957796;1.5658418606957796;1.5428038037546479;0.3993149995803833;0.3993149995803833;0.3993149995803833;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.3991750180721283;0.3991750180721283;0.3991750180721283;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.39368000626564026;0.39368000626564026;0.39368000626564026;0.4000000059604645;0.4000000059604645;0.4000000059604645;-30.0;-30.0;-30.0;-28.80438156016411;-28.804381560164114;-28.800579809373424
12;Results_File_5_TOP_12.mat;True;179.60786663232656;179.60786663232656;179.6816406726836;708.9794466859798;708.9794466859798;708.9433130154296;0.6195774619331267;0.6195774619331267;0.6196089798285145;0.27813879615340065;0.27813879615340054;0.2781871216985071;-7.555086910704752;-7.555086910704752;-7.5235747714196375;0.22750623603597733;0.22750623603597733;0.24770857057270265;1.1946782220236614;1.1946782220236614;1.1711357881652997;0.3993149995803833;0.3993149995803833;0.3993149995803833;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.3991750180721283;0.3991750180721283;0.3991750180721283;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.39368000626564026;0.39368000626564026;0.39368000626564026;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.0;0.0;0.0;1.0706760831763968;1.0706760831763968;1.0709999799728394
13;Results_File_5_TOP_13.mat;True;179.79865108520207;179.79865108520207;179.84352756341315;708.9877467521038;708.9877467521038;708.9645894938024;0.6195702031348392;0.6195702031348393;0.6195903849687444;0.17481018800209364;0.17481018800209364;0.17470937641461826;-5.798715314007153;-5.798715314007153;-5.796927252784387;-2.0800929290946097;-2.0800929290946097;-2.0868799557848714;1.107445602742888;1.107445602742888;1.097794005251301;0.3993149995803833;0.3993149995803833;0.3993149995803833;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.3991750180721283;0.3991750180721283;0.3991750180721283;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.39368000626564026;0.39368000626564026;0.39368000626564026;0.4000000059604645;0.4000000059604645;0.4000000059604645;30.0;30.0;30.0;30.46888468157548;30.46888468157548;30.46549725051849
14;Results_File_5_TOP_14.mat;True;180.29090036625072;180.2909003662507;180.15826578140224;751.9858904612145;751.9858904612144;751.9590245552345;0.5841436306558773;0.5841436306558773;0.5841643342115058;0.1355078854813375;0.1355078854813375;0.1354842070607677;-5.512953753415615;-5.512953753415615;-5.49270962130643;2.3014109835939847;2.3014109835939847;2.3142585639030933;1.3331468725880158;1.3331468725880158;1.333504838348976;0.3993149995803833;0.3993149995803833;0.3993149995803833;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.3991750180721283;0.3991750180721283;0.3991750180721283;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.39368000626564026;0.39368000626564026;0.39368000626564026;0.4000000059604645;0.4000000059604645;0.4000000059604645;-30.0;-30.0;-30.0;-29.793589652897847;-29.793589652897847;-29.78999900817871
15;Results_File_5_TOP_15.mat;True;180.25203709046258;180.25203709046258;180.2576311786973;752.0368830125276;752.0368830125276;752.0313089255783;0.5841040063057454;0.5841040063057454;0.5841081850185348;0.24821620176740652;0.24821620176740652;0.24815323039762227;-7.675284833523836;-7.675284833523836;-7.651629536382673;0.24195124517351213;0.24195124517351213;0.2684463243329771;1.2941308687522515;1.2941308687522515;1.3054701036639824;0.3993149995803833;0.3993149995803833;0.3993149995803833;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.3991750180721283;0.3991750180721283;0.3991750180721283;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.39368000626564026;0.39368000626564026;0.39368000626564026;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.0;0.0;0.0;0.5479829478026143;0.5479829478026143;0.5489999651908875
16;Results_File_5_TOP_16.mat;True;179.75910663294408;179.75910663294408;179.57034476598128;752.0209967650657;752.0209967650657;751.9976439420013;0.5841163613513362;0.5841163613513362;0.5841343340265996;0.14565836354371553;0.14565836354371553;0.14561584434973807;-5.817885206021188;-5.817885206021188;-5.810794264198316;-2.1175521723171387;-2.1175521723171387;-2.0839641466136007;1.804744775896751;1.804744775896751;1.7908303943061599;0.3993149995803833;0.3993149995803833;0.3993149995803833;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.3991750180721283;0.3991750180721283;0.3991750180721283;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.39368000626564026;0.39368000626564026;0.39368000626564026;0.4000000059604645;0.4000000059604645;0.4000000059604645;30.0;30.0;30.0;30.46029063513947;30.46029063513947;30.463855122366258
17;Results_File_5_TOP_17.mat;True;179.74581047444357;179.74581047444357;179.7824318865933;797.9845368464178;797.9845368464177;797.9804283272888;0.5504714221666299;0.5504714221666299;0.5504742063094596;0.10875919301057187;0.10875919301057187;0.10872707021446512;-5.554925294481578;-5.554925294481578;-5.516713480795596;2.2744019698185483;2.2744019698185483;2.2936134722925;1.0915399046164493;1.0915399046164493;1.094032341832603;0.3993149995803833;0.3993149995803833;0.3993149995803833;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.3991750180721283;0.3991750180721283;0.3991750180721283;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.39368000626564026;0.39368000626564026;0.39368000626564026;0.4000000059604645;0.4000000059604645;0.4000000059604645;-30.0;-30.0;-30.0;-29.693941288764915;-29.69394128876492;-29.690998077392578
18;Results_File_5_TOP_18.mat;True;179.94581097369;179.94581097369;179.9022010962168;797.9805343562707;797.9805343562707;797.9871512237955;0.5504741844862188;0.5504741844862188;0.5504695686640813;0.2180802865487092;0.2180802865487092;0.21807311549700448;-7.741343202706746;-7.741343202706746;-7.678113915026168;0.24293513477626508;0.24293513477626505;0.23803468865733615;0.9881837513494998;0.9881837513494998;1.004572784983078;0.3993149995803833;0.3993149995803833;0.3993149995803833;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.3991750180721283;0.3991750180721283;0.3991750180721283;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.39368000626564026;0.39368000626564026;0.39368000626564026;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.0;0.0;0.0;0.32132723343015834;0.32132723343015834;0.3240000009536743
19;Results_File_5_TOP_19.mat;True;179.98877656574058;179.98877656574058;179.82381257812222;798.0038412730305;798.0038412730305;798.0028262842367;0.5504581007927425;0.5504581007927425;0.550458755865572;0.12001039991784143;0.12001039991784142;0.12004503085275539;-5.814649117212081;-5.814649117212082;-5.7754710619487435;-2.1544538712834402;-2.1544538712834402;-2.14580675815386;1.0271543022034246;1.0271543022034246;1.0022746521369306;0.3993149995803833;0.3993149995803833;0.3993149995803833;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.3991750180721283;0.3991750180721283;0.3991750180721283;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.39368000626564026;0.39368000626564026;0.39368000626564026;0.4000000059604645;0.4000000059604645;0.4000000059604645;30.0;30.0;30.0;30.464700215131046;30.464700215131046;30.464998245239258
20;Results_File_5_TOP_20.mat;True;179.86710581766377;179.86710581766377;179.77295615077037;708.0019383098227;708.0019383098227;708.0277208529628;0.620432887499253;0.620432887499253;0.6204102325322015;0.2747801431113046;0.27478014311130466;0.2747012163538709;-6.708384480820596;-6.708384480820596;-6.660598011935703;2.9783523848651603;2.9783523848651594;3.012598121166261;1.1770504743452952;1.1770504743452952;1.170487857803384;0.3993149995803833;0.3993149995803833;0.3993149995803833;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.3991750180721283;0.3991750180721283;0.3991750180721283;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.39368000626564026;0.39368000626564026;0.39368000626564026;0.4000000059604645;0.4000000059604645;0.4000000059604645;-30.0;-30.0;-30.0;-28.743099778307478;-28.743099778307478;-28.74599838256836
